"RANKING","STATUS","ID_PROV","ID_KAB","NAMA_PROV","NAMA_KAB","TOTAL_DESA","TOTAL_VERIFIED","YEAR_NOW","IDM_NOW","STATUS_NOW","IKS_NOW","IKE_NOW","IKL_NOW","JML_DESA_NOW","YEAR_PREV","IDM_PREV","STATUS_PREV","IKS_PREV","IKE_PREV","IKL_PREV","JML_DESA_PREV"
"1","MANDIRI","35","3579","JAWA TIMUR","KOTA BATU","19","19","2021","0.8979","MANDIRI","0.8307","0.9404","0.9227","19","2020","0.8563","MANDIRI","0.7649","0.9228","0.8812","19"
"2","MANDIRI","51","5171","BALI","KOTA DENPASAR","27","27","2021","0.8950","MANDIRI","0.8858","0.8988","0.9003","27","2020","0.8793","MANDIRI","0.8648","0.8790","0.8940","27"
"3","MANDIRI","51","5103","BALI","KABUPATEN BADUNG","46","46","2021","0.8865","MANDIRI","0.8014","0.9464","0.9116","46","2020","0.8804","MANDIRI","0.8007","0.9333","0.9071","46"
"4","MANDIRI","32","3279","JAWA BARAT","KOTA BANJAR","16","16","2021","0.8656","MANDIRI","0.7427","0.9208","0.9332","16","2020","0.8263","MANDIRI","0.7104","0.8417","0.9268","16"
"5","MANDIRI","15","1572","JAMBI","KOTA SUNGAI PENUH","65","65","2021","0.8407","MANDIRI","0.7831","0.8800","0.8591","65","2020","0.8276","MANDIRI","0.7692","0.8677","0.8459","65"
"6","MANDIRI","34","3402","DI YOGYAKARTA","KABUPATEN BANTUL","75","75","2021","0.8356","MANDIRI","0.7967","0.8356","0.8745","75","2020","0.8170","MANDIRI","0.7816","0.8036","0.8658","75"
"7","MANDIRI","51","5102","BALI","KABUPATEN TABANAN","133","133","2021","0.8292","MANDIRI","0.7494","0.8972","0.8409","133","2020","0.7959","MAJU","0.7281","0.8376","0.8219","133"
"8","MANDIRI","35","3510","JAWA TIMUR","KABUPATEN BANYUWANGI","189","189","2021","0.8274","MANDIRI","0.7698","0.8399","0.8725","189","2020","0.8007","MAJU","0.7481","0.7954","0.8584","189"
"9","MANDIRI","51","5105","BALI","KABUPATEN KLUNGKUNG","53","53","2021","0.8262","MANDIRI","0.7497","0.8994","0.8296","53","2020","0.8072","MAJU","0.7355","0.8830","0.8029","53"
"10","MANDIRI","51","5104","BALI","KABUPATEN GIANYAR","64","64","2021","0.8176","MANDIRI","0.8070","0.7750","0.8708","64","2020","0.7959","MAJU","0.7943","0.7396","0.8539","64"
"11","MAJU","34","3404","DI YOGYAKARTA","KABUPATEN SLEMAN","86","86","2021","0.8119","MAJU","0.7576","0.8264","0.8518","86","2020","0.7985","MAJU","0.7506","0.8047","0.8401","86"
"12","MAJU","61","6102","KALIMANTAN BARAT","KABUPATEN MEMPAWAH","60","60","2021","0.8070","MAJU","0.7442","0.7956","0.8811","60","2020","0.7927","MAJU","0.7389","0.7600","0.8792","60"
"13","MAJU","51","5101","BALI","KABUPATEN JEMBRANA","41","41","2021","0.7945","MAJU","0.7171","0.8000","0.8663","41","2020","0.7807","MAJU","0.7057","0.7821","0.8542","41"
"14","MAJU","62","6201","KALIMANTAN TENGAH","KABUPATEN KOTAWARINGIN BARAT","81","81","2021","0.7912","MAJU","0.7095","0.8214","0.8427","81","2020","0.7167","MAJU","0.5833","0.7622","0.8047","81"
"15","MAJU","51","5106","BALI","KABUPATEN BANGLI","68","68","2021","0.7908","MAJU","0.7020","0.8647","0.8057","68","2020","0.7824","MAJU","0.6897","0.8618","0.7958","68"
"16","MAJU","73","7311","SULAWESI SELATAN","KABUPATEN BARRU","40","40","2021","0.7818","MAJU","0.7283","0.7783","0.8387","40","2020","0.7444","MAJU","0.7079","0.7050","0.8203","40"
"17","MAJU","51","5107","BALI","KABUPATEN KARANGASEM","75","75","2021","0.7805","MAJU","0.7040","0.8436","0.7938","75","2020","0.7668","MAJU","0.6820","0.8364","0.7819","75"
"18","MAJU","13","1304","SUMATERA BARAT","KABUPATEN TANAH DATAR","75","75","2021","0.7786","MAJU","0.7442","0.8018","0.7897","75","2020","0.7655","MAJU","0.7356","0.7840","0.7768","75"
"19","MAJU","32","3204","JAWA BARAT","KABUPATEN BANDUNG","270","270","2021","0.7767","MAJU","0.7284","0.7343","0.8673","270","2020","0.7524","MAJU","0.7125","0.6993","0.8455","270"
"20","MAJU","35","3525","JAWA TIMUR","KABUPATEN GRESIK","330","330","2021","0.7706","MAJU","0.7035","0.7929","0.8152","330","2020","0.7325","MAJU","0.6750","0.7269","0.7956","330"
"21","MAJU","32","3217","JAWA BARAT","KABUPATEN BANDUNG BARAT","165","165","2021","0.7679","MAJU","0.7033","0.7386","0.8617","165","2020","0.7530","MAJU","0.6895","0.7168","0.8528","165"
"22","MAJU","73","7303","SULAWESI SELATAN","KABUPATEN BANTAENG","46","46","2021","0.7665","MAJU","0.7109","0.7739","0.8148","46","2020","0.7245","MAJU","0.6866","0.7058","0.7810","46"
