"RANKING","STATUS","ID_PROV","ID_KAB","ID_KEC","NAMA_PROV","NAMA_KAB","NAMA_KEC","TOTAL_DESA","YEAR_NOW","IDM_NOW","STATUS_NOW","IKS_NOW","IKE_NOW","IKL_NOW","JML_DESA_NOW","YEAR_PREV","IDM_PREV","STATUS_PREV","IKS_PREV","IKE_PREV","IKL_PREV","JML_DESA_PREV"
"1","MANDIRI","35","3510","351009","JAWA TIMUR","KABUPATEN BANYUWANGI","GENTENG","5","2021","0.9748","MANDIRI","0.9667","1.0000","0.9577","5","2020","0.9443","MANDIRI","0.9667","0.9200","0.9463","5"
"2","MANDIRI","35","3579","357901","JAWA TIMUR","KOTA BATU","BATU","4","2021","0.9711","MANDIRI","0.9375","1.0000","0.9757","4","2020","0.8581","MANDIRI","0.8166","0.8833","0.8743","4"
"3","MANDIRI","51","5103","510306","BALI","KABUPATEN BADUNG","KUTA UTARA","3","2021","0.9570","MANDIRI","0.9389","0.9778","0.9543","3","2020","0.9356","MANDIRI","0.9167","0.9778","0.9124","3"
"4","MANDIRI","51","5171","517101","BALI","KOTA DENPASAR","DENPASAR SELATAN","4","2021","0.9436","MANDIRI","0.9583","0.9667","0.9057","4","2020","0.9460","MANDIRI","0.9583","0.9667","0.9128","4"
"5","MANDIRI","34","3404","340407","DI YOGYAKARTA","KABUPATEN SLEMAN","DEPOK","3","2021","0.9419","MANDIRI","0.9889","0.9111","0.9257","3","2020","0.9387","MANDIRI","0.9889","0.9111","0.9162","3"
"6","MANDIRI","15","1572","157201","JAMBI","KOTA SUNGAI PENUH","SUNGAI PENUH","3","2021","0.9411","MANDIRI","0.9611","0.8889","0.9733","3","2020","0.9411","MANDIRI","0.9611","0.8889","0.9733","3"
"7","MANDIRI","34","3404","340410","DI YOGYAKARTA","KABUPATEN SLEMAN","KALASAN","4","2021","0.9320","MANDIRI","0.9375","0.9500","0.9086","4","2020","0.9292","MANDIRI","0.9333","0.9500","0.9043","4"
"8","MANDIRI","35","3510","351007","JAWA TIMUR","KABUPATEN BANYUWANGI","GAMBIRAN","6","2021","0.9222","MANDIRI","0.8944","0.9444","0.9276","6","2020","0.9329","MANDIRI","0.9333","0.9444","0.9210","6"
"9","MANDIRI","34","3404","340401","DI YOGYAKARTA","KABUPATEN SLEMAN","GAMPING","5","2021","0.9168","MANDIRI","0.9500","0.9066","0.8937","5","2020","0.8877","MANDIRI","0.9267","0.8667","0.8697","5"
"10","MANDIRI","34","3402","340209","DI YOGYAKARTA","KABUPATEN BANTUL","JETIS","4","2021","0.9113","MANDIRI","0.8500","0.9666","0.9172","4","2020","0.8395","MANDIRI","0.8083","0.8000","0.9100","4"
"11","MANDIRI","35","3510","351025","JAWA TIMUR","KABUPATEN BANYUWANGI","BLIMBINGSARI","10","2021","0.9071","MANDIRI","0.8483","0.9867","0.8863","10","2020","0.7984","MAJU","0.7867","0.7667","0.8417","10"
"12","MANDIRI","73","7314","731402","SULAWESI SELATAN","KABUPATEN SIDENRENG RAPPANG","TELLU LIMPOE","3","2021","0.9034","MANDIRI","0.8555","0.8889","0.9657","3","2020","0.6654","BERKEMBANG","0.5944","0.6000","0.8019","3"
"13","MANDIRI","14","1405","140512","RIAU","KABUPATEN PELALAWAN","BANDAR PETALANGAN","10","2021","0.9004","MANDIRI","0.8000","0.9800","0.9211","10","2020","0.8573","MANDIRI","0.7150","0.9667","0.8903","10"
"14","MANDIRI","35","3579","357902","JAWA TIMUR","KOTA BATU","BUMIAJI","9","2021","0.9000","MANDIRI","0.8111","0.9778","0.9111","9","2020","0.8758","MANDIRI","0.7629","0.9852","0.8794","9"
"15","MANDIRI","51","5171","517104","BALI","KOTA DENPASAR","DENPASAR UTARA","8","2021","0.8939","MANDIRI","0.8667","0.9250","0.8900","8","2020","0.8660","MANDIRI","0.8229","0.9000","0.8750","8"
"16","MANDIRI","32","3279","327903","JAWA BARAT","KOTA BANJAR","PURWAHARJA","2","2021","0.8922","MANDIRI","0.8166","0.9000","0.9600","2","2020","0.8541","MANDIRI","0.7583","0.8666","0.9372","2"
"16","MANDIRI","15","1572","157208","JAMBI","KOTA SUNGAI PENUH","SUNGAI BUNGKAL","5","2021","0.8922","MANDIRI","0.8533","0.9067","0.9166","5","2020","0.8922","MANDIRI","0.8533","0.9067","0.9166","5"
"18","MANDIRI","51","5103","510305","BALI","KABUPATEN BADUNG","KUTA SELATAN","3","2021","0.8885","MANDIRI","0.8000","0.9778","0.8876","3","2020","0.9024","MANDIRI","0.8889","0.9555","0.8628","3"
"19","MANDIRI","64","6408","640804","KALIMANTAN TIMUR","KABUPATEN KUTAI TIMUR","SANGATTA UTARA","3","2021","0.8884","MANDIRI","0.9222","0.8667","0.8762","3","2020","0.8884","MANDIRI","0.9222","0.8667","0.8762","3"
"20","MANDIRI","32","3217","321702","JAWA BARAT","KABUPATEN BANDUNG BARAT","PARONGPONG","7","2021","0.8856","MANDIRI","0.8690","0.8571","0.9306","7","2020","0.7884","MAJU","0.8024","0.6762","0.8865","7"
"21","MANDIRI","51","5103","510302","BALI","KABUPATEN BADUNG","MENGWI","15","2021","0.8855","MANDIRI","0.7855","0.9555","0.9154","15","2020","0.8847","MANDIRI","0.7844","0.9600","0.9097","15"
"22","MANDIRI","51","5171","517103","BALI","KOTA DENPASAR","DENPASAR BARAT","8","2021","0.8851","MANDIRI","0.8979","0.8417","0.9157","8","2020","0.8759","MANDIRI","0.8875","0.8250","0.9150","8"
"23","MANDIRI","51","5103","510303","BALI","KABUPATEN BADUNG","ABIANSEMAL","18","2021","0.8848","MANDIRI","0.8148","0.9333","0.9064","18","2020","0.8727","MANDIRI","0.8018","0.9037","0.9127","18"
"24","MANDIRI","61","6102","610208","KALIMANTAN BARAT","KABUPATEN MEMPAWAH","SIANTAN","5","2021","0.8847","MANDIRI","0.8833","0.8267","0.9440","5","2020","0.8853","MANDIRI","0.8800","0.8400","0.9360","5"
"25","MANDIRI","34","3402","340205","DI YOGYAKARTA","KABUPATEN BANTUL","BAMBANGLIPURO","3","2021","0.8844","MANDIRI","0.8278","0.9111","0.9143","3","2020","0.8477","MANDIRI","0.7889","0.8667","0.8876","3"
"26","MANDIRI","35","3507","350712","JAWA TIMUR","KABUPATEN MALANG","SUMBERPUCUNG","7","2021","0.8819","MANDIRI","0.8333","0.9333","0.8792","7","2020","0.8801","MANDIRI","0.8333","0.9333","0.8735","7"
