"RANKING","ID_PROV","NAMA_PROV","TOTAL_DESA","YEAR_NOW","IDM_NOW","STATUS_NOW","IKS_NOW","IKE_NOW","IKL_NOW","JML_DESA_NOW","YEAR_PREV","IDM_PREV","STATUS_PREV","IKS_PREV","IKE_PREV","IKL_PREV","JML_DESA_PREV"
"1","51","BALI","636","2021","0.8037","MAJU","0.7411","0.8348","0.8353","636","2020","0.7879","MAJU","0.7291","0.8110","0.8236","636"
"2","34","DI YOGYAKARTA","392","2021","0.7837","MAJU","0.7190","0.7958","0.8363","392","2020","0.7684","MAJU","0.7053","0.7745","0.8255","392"
"3","35","JAWA TIMUR","7724","2021","0.7217","MAJU","0.6515","0.7224","0.7911","7715","2020","0.7025","BERKEMBANG","0.6332","0.6959","0.7785","7724"
"4","32","JAWA BARAT","5312","2021","0.7202","MAJU","0.6581","0.6926","0.8098","5312","2020","0.6967","BERKEMBANG","0.6354","0.6636","0.7913","5312"
"5","13","SUMATERA BARAT","928","2021","0.7180","MAJU","0.6590","0.7091","0.7861","928","2020","0.6996","BERKEMBANG","0.6419","0.6859","0.7710","928"
"6","64","KALIMANTAN TIMUR","841","2021","0.7071","BERKEMBANG","0.6149","0.7249","0.7814","841","2020","0.6750","BERKEMBANG","0.5830","0.6796","0.7626","841"
"7","19","KEPULAUAN BANGKA BELITUNG","309","2021","0.7035","BERKEMBANG","0.6339","0.6790","0.7975","309","2020","0.6927","BERKEMBANG","0.6252","0.6676","0.7854","309"
"8","52","NUSA TENGGARA BARAT","1005","2021","0.7005","BERKEMBANG","0.6170","0.6942","0.7903","1005","2020","0.6870","BERKEMBANG","0.6027","0.6818","0.7766","995"
"9","61","KALIMANTAN BARAT","2031","2021","0.6978","BERKEMBANG","0.5742","0.7412","0.7780","2031","2020","0.6575","BERKEMBANG","0.5373","0.6818","0.7534","2031"
"10","33","JAWA TENGAH","7809","2021","0.6930","BERKEMBANG","0.6233","0.6774","0.7782","7809","2020","0.6819","BERKEMBANG","0.6105","0.6662","0.7691","7821"
"11","71","SULAWESI UTARA","1507","2021","0.6923","BERKEMBANG","0.5868","0.7384","0.7516","1507","2020","0.6715","BERKEMBANG","0.5662","0.7133","0.7349","1507"
