idrow;Kabupaten/Kota;Kecamatan;Kode PUM;Status;Desa/Kelurahan;Tanggal;Bulan;Tahun;APBD Kabupaten;Bantuan Pemkab;Bantuan Pemprov;Bantuan Pusat;PAD;Swadaya;ADD;Bantuan Perusahaan;Bantuan Lain-Lain;APB Desa;Belanja Pembangunan;Belanja Pegawai
1;KABUPATEN CILACAP;DAYEUHLUHUR;3301162013;DESA;DESA PANULISAN BARAT;16/03/2021;3;2021;118.734.000,00;75.938.000,00;55.000.000,00;1.054.274.000,00;48.500.000,00;658.100.000,00;599.037.000,00;2.500.000,00;1.100.000,00;2.613.183.000,00;2.071.833.000,00;541.350.000,00
2;KABUPATEN CILACAP;DAYEUHLUHUR;3301162001;DESA;DESA PANULISAN;22/06/2021;6;2021;0;117.764.000,00;5.000.000,00;0;113.764.850,00;0;571.866.000,00;0;0;236.528.850,00;0;0
3;KABUPATEN CILACAP;DAYEUHLUHUR;3301162014;DESA;DESA PANULISAN TIMUR;25/03/2021;3;2021;0;118.734.400,00;55.000.000,00;1.151.955.000,00;101.713.750,00;0;554.870.000,00;0;5.600.000,00;1.987.873.150,00;1.494.073.150,00;493.800.000,00
4;KABUPATEN CILACAP;DAYEUHLUHUR;3301162002;DESA;DESA MATENGGENG;03/09/2021;9;2021;0;250.000.000,00;5.000.000,00;915.835.000,00;85.342.000,00;325.835.000,00;626.101.000,00;0;0;2.208.113.000,00;378.077.000,00;1.830.036.000,00
5;KABUPATEN CILACAP;DAYEUHLUHUR;3301162003;DESA;DESA CIWALEN;04/03/2021;3;2021;71.072.000,00;350.000.000,00;161.000.000,00;1.056.601.000,00;117.600.000,00;183.500.000,00;674.387.000,00;0;0;2.614.160.000,00;2.009.960.000,00;604.200.000,00
6;KABUPATEN CILACAP;DAYEUHLUHUR;3301162004;DESA;DESA DAYEUHLUHUR;23/03/2021;3;2021;0;296.090.000,00;100.000.000,00;0;96.097.000,00;12.000.000,00;175.000.000,00;0;0;679.187.000,00;301.200.000,00;248.730.000,00
7;KABUPATEN CILACAP;DAYEUHLUHUR;3301162005;DESA;DESA HANUM;22/03/2021;3;2021;405.000.000,00;72.146.000,00;5.000.000,00;1.002.292.000,00;91.110.135,00;380.000.000,00;725.857.000,00;0;3.632.496,00;2.685.037.631,00;1.841.013.000,00;844.024.631,00
8;KABUPATEN CILACAP;DAYEUHLUHUR;3301162006;DESA;DESA DATAR;23/03/2021;3;2021;0;0;55.000.000,00;0;25.200.000,00;21.600.000,00;556.967.000,00;0;600.000,00;659.367.000,00;0;0
9;KABUPATEN CILACAP;DAYEUHLUHUR;3301162007;DESA;DESA BINGKENG;19/03/2021;3;2021;0;191.753.000,00;5.000.000,00;984.581.000,00;116.481.583,00;351.765.000,00;674.526.000,00;0;1.400.000,00;2.325.506.583,00;1.490.934.500,00;834.572.083,00
10;KABUPATEN CILACAP;DAYEUHLUHUR;3301162008;DESA;DESA BOLANG;17/03/2021;3;2021;63.396.000,00;50.000.000,00;5.000.000,00;933.079.000,00;16.550.000,00;110.400.000,00;553.747.000,00;1.000.000,00;0;1.733.172.000,00;1.117.949.500,00;615.222.500,00
