id,kodedesa,Tahun,Provinsi,Kabupaten,Kecamatan,Desa,No_Reg,Nama_Bumdes,Perdes_Bumdes,Kades,Unit_Usaha,Alamat,AD_ART,SOP,Email,FB,TWITTER,IG,Aplikasi_Bumdes
1,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,PLAKARAN,,, / ,,,,,,,,,,
2,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,MANDIRAJA,3327011001,SAHAJA,Jun-17,"R. MOHAMAD SYAIHUDIN, S. AP",-,Jalan Raya Mandiraja-Moga RT 07 RW 09 ,Ada,Ada,mandirajasehati@gmail.com,-,-,-,-
3,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,WALANGSANGA,,, / ,,,,,,,,,,
4,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,SIMA,,, / ,,,,,,,,,,
5,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,MOGA,,, / ,,,,,,,,,,
6,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,BANYUMUDAL,,, / ,,,,,,,,,,
7,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,WANGKELANG,,, / ,,,,,,,,,,
8,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,KEBANGGAN,3327011002,Citra Lestari,Feb-17,Anis Hidayat,"Tempat Wisata, ",Jalan Raya Moga-Randudongkal Km 1 Sekretariat GJ Desa Kebanggan,Ada,Ada,citralestaribumdes@gmail.com,https://www.facebook.com/bumdescitralestari,https://twitter.com/BumdesCitra,https://www.instagram.com/bumdescitralestari,citralestaribumdes@gmail.com
9,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,PEPEDAN,,, / ,,,,,,,,,,
10,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,GENDOANG,,, / ,,,,,,,,,,
11,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,CLEKATAKAN,3327021001,maju makmur,Feb-17,sutrisno,"Desa Wisata, ",jl nur soepeno km 2 desa clekatakan,Ada,-,izmi39810@gmail.com,-,-,-,-
12,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,BATURSARI,,, / ,,,,,,,,,,
13,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,PENAKIR,,, / ,,,,,,,,,,
14,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,GUNUNGSARI,,, / ,,,,,,,,,,
15,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,JURANGMANGU,,, / ,,,,,,,,,,
16,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,GAMBUHAN,,, / ,,,,,,,,,,
17,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,KARANGSARI,,, / ,,,,,,,,,,
18,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,NYALEMBENG,,, / ,,,,,,,,,,
19,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,PULOSARI,,, / ,,,,,,,,,,
20,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,PAGENTERAN,,, / ,,,,,,,,,,
