"id","Provinsi","Kabupaten","Kecamatan","kodedesa","Desa","paguDD_2015","paguDD_2016","paguDD_2017","paguDD_2018","paguDD_2019","paguDD_2020"
1,"JAWA TENGAH","PEMALANG","MOGA","3327142006","PLAKARAN","315091000","755533000","901471000","1420074000","1731773875","1857578000"
2,"JAWA TENGAH","PEMALANG","MOGA","3327142006","MANDIRAJA","314129000","733129000","895840000","1241017000","1351458000","1484319000"
3,"JAWA TENGAH","PEMALANG","MOGA","3327142006","WALANGSANGA","315700000","738712000","905037000","1379250000","1551039000","1908986000"
4,"JAWA TENGAH","PEMALANG","MOGA","3327142006","SIMA","345241000","874214000","1077923000","1780208000","2136082000","2377928000"
5,"JAWA TENGAH","PEMALANG","MOGA","3327142006","MOGA","323472000","760454000","950521000","1191460000","1507194000","1600451000"
6,"JAWA TENGAH","PEMALANG","MOGA","3327142006","BANYUMUDAL","347454000","900290000","1090877000","1458052000","1896221000","2021153000"
7,"JAWA TENGAH","PEMALANG","MOGA","3327142006","WANGKELANG","307068000","667475000","854520000","1148999000","1427075875","1431061000"
8,"JAWA TENGAH","PEMALANG","MOGA","3327142006","KEBANGGAN","303287000","663713000","832368000","874669000","1047572000","1105504000"
9,"JAWA TENGAH","PEMALANG","MOGA","3327142006","PEPEDAN","305547000","664011000","845614000","1074420000","1108118000","1182375000"
10,"JAWA TENGAH","PEMALANG","MOGA","3327142006","GENDOANG","323807000","772875000","952482000","1423257000","1609807000","1755378000"
11,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","CLEKATAKAN","322938000","790181000","947399000","1213000000","1543640000","1684068000"
12,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","BATURSARI","314673000","753082000","899027000","1080385000","1347807000","1453651000"
13,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","PENAKIR","323440000","781262000","950334000","1402101000","1587196000","1752573000"
14,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","GUNUNGSARI","319463000","749546000","927060000","1350150000","1511534000","1662987000"
15,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","JURANGMANGU","304246000","670027000","838001000","919748000","1113288000","1144846000"
16,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","GAMBUHAN","337959000","830364000","1035307000","1422990000","1839279000","1945169000"
17,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","KARANGSARI","308199000","724178000","861136000","992864000","1221175000","1312747000"
18,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","NYALEMBENG","309641000","707475000","869576000","994498000","1223087000","1311041000"
19,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","PULOSARI","327858000","820962000","976188000","1305597000","1676357000","1829489000"
20,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","PAGENTERAN","303860000","718296000","835715000","907510000","1094909000","1193347000"
21,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","SIREMENG","317113000","798761000","913306000","1122929000","1410029000","1577185000"
22,"JAWA TENGAH","PEMALANG","PULOSARI","3327142006","CIKENDUNG","327019000","793493000","971281000","1314874000","1690542000","1839512000"
23,"JAWA TENGAH","PEMALANG","BELIK","3327142006","GOMBONG","355273000","946932000","1136637000","1783513000","2364987000","2625986000"
24,"JAWA TENGAH","PEMALANG","BELIK","3327142006","BELIK","352334000","927151000","1119438000","1648666000","2162445000","2349788000"
