URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
NA;NA;2016;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;290394000;2017;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PENGELOLAAN AIR BERSIH BERSKALA DESA;109098000;2017;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN TURAP/BRONJONG TALUD DESA;357411000;2017;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Pagar PAUD;27831000;2017;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Saluran Drainase;61226000;2017;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Stimulasi RTLH dan  Jamban Keluarga;26000000;2017;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;25911000;2017;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembentukan dan Pengelolaan BUMDes;3600000;2017;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMILIHARAAN JALAN  DESA;433677000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMILIHARAAN TURAP/BRONJONG TALUD DESA;261353000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMILIHARAAN DRAINASE/GORONG-GORONG /PLAT DECKER;83085400;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PENGEMBANGAN SARANA PRASARANA KOMUNIKASI DAN INFORMATIKA;50000000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan lapangan olahraga;203257000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Penerangan Jalan;50000000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Permodalan Bumdes dan Bumdesa bersama;100000000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pengadaan APE;22500000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Posyandu;78000000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Stimulasi RTLH dan Jamban Keluarga;60000000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Peringatan Hari Besar Nasional;20701600;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas;47500000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
FASILITASI DAN PEMBINAAN KARANGTARUNA;10000000;2018;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Penyusunan Dokumen Perencanaan Desa (RPJMDesa/RKPDesa dll);15000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;20000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";60000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);9000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);214097000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";138230000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";372933000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Balai Desa/Balai Kemasyarakatan
**)";125000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Monumen/Gapura/Batas Desa **);43220000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";62640000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak Layak
Huni GAKIN";40000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah
Tangga **)";523125000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Jaringan Listrik/ Penerangan Desa;15000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembinaan PKK;36000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Peningkatan Produksi Tanaman Pangan (alat
produksi/pengelolaan/penggilingan)";20000000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Saluran Irigasi Tersier/Sederhana;258151000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;23450875;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas BPD;2500000;2019;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Penyediaan Sarana (Aset Tetap) Perkantoran/Pemerintahan;82500000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;21700000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";36500000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pengelolaan Perpustakaan Milik Desa (Pengadaan Buku, Honor, Taman
Baca)";30000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";32500000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman (Dipilih)";136560900;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Monumen/Gapura/Batas Desa
(Dipilih)";40000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pemeliharaan Sambungan Air Bersih ke Rumah Tangga (Pipanisasi dll);265000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;51000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Jaringan Listrik/ Penerangan Desa;48750000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);9000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaran Festival Kesenian, Adat/Kebudayaan, dan Kegamaan (HUT
RI, Raya Keagamaan dll)";5000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembinaan Karangtaruna/Klub Kepemudaan/Olahraga Tingkat Desa;20000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Saluran Irigasi Tersier/Sederhana;98222600;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;17763800;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);16024700;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Desa Siaga Kesehatan;5000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";201456000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pelatihan Pembinaan Lembaga Kemasyarakatan;35000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Pencegahan dan Penanggulangan Bencana Covid 19;198000000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
Penyaluran Bantuan Langsung Tunai Dana Desa (BLT DD);507600000;2020;PLAKARAN;MOGA;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
NA;NA;2016;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;200110000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN TURAP/BRONJONG TALUD DESA;125974000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Saluran Irigasi;75065000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Drainase;48686000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Jembatan Desa;43252000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Stimulasi RTLH dan Jamban Keluarga;26000000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembentukan dan Pengelolaan BUMDESA;3500000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;51717000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;84638000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Drainase;186306000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Jembatan Desa;50592000;2017;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Jalan Desa;526499000;2018;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Drainase / Gorong -Gorong / Plat Deker;347525000;2018;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan dan Operasional BUMDES;176831000;2018;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Dan Pengembangan Sarana Prasarana Komunikasi Dan Informatika;50000000;2018;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Irigasi;64162000;2018;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Stimulasi RTLH & Jamban Keluarga;26000000;2018;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Penyertaan Modal Bumdes;50000000;2018;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaraan Musyawarah Perencanaan Desa/Pembahasan APBDes
(Reguler)";5525000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";24400000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana/Prasarana
Perpustakaan/Taman";2000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
