id,kodedesa,Tahun,Provinsi,Kabupaten,Kecamatan,Desa,IKS,IKE,IKL,Skor_IDM_Saat_Ini,Status_IDM,Target_Status,Skor_IDM_Minimal,Penambahan_Yg_Dibutuhkan
1,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,PLAKARAN,0.6629,0.5667,0.6,0.6098,BERKEMBANG,MAJU,0.7073,0.0975
2,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,MANDIRAJA,0.6514,0.5333,0.6667,0.6171,BERKEMBANG,MAJU,0.7073,0.0902
3,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,WALANGSANGA,0.7029,0.55,0.6,0.6176,BERKEMBANG,MAJU,0.7073,0.0897
4,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,SIMA,0.72,0.6,0.6667,0.6622,BERKEMBANG,MAJU,0.7073,0.0451
5,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,MOGA,0.7429,0.7333,0.6667,0.7143,MAJU,MANDIRI,0.8156,0.1013
6,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,BANYUMUDAL,0.9714,1,0.6667,0.8794,MANDIRI,MANDIRI,0.8156,-0.0638
7,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,WANGKELANG,0.7029,0.5333,0.6667,0.6343,BERKEMBANG,MAJU,0.7073,0.073
8,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,KEBANGGAN,0.7143,0.5667,0.6667,0.6492,BERKEMBANG,MAJU,0.7073,0.0581
9,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,PEPEDAN,0.7314,0.4833,0.6667,0.6271,BERKEMBANG,MAJU,0.7073,0.0802
10,3327142006,2000,JAWA TENGAH,PEMALANG,MOGA,GENDOANG,0.7429,0.5,0.6667,0.6365,BERKEMBANG,MAJU,0.7073,0.0708
11,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,CLEKATAKAN,0.6686,0.6167,0.7333,0.6729,BERKEMBANG,MAJU,0.7073,0.0344
12,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,BATURSARI,0.7486,0.5833,0.7333,0.6884,BERKEMBANG,MAJU,0.7073,0.0189
13,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,PENAKIR,0.7486,0.5833,0.7333,0.6884,BERKEMBANG,MAJU,0.7073,0.0189
14,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,GUNUNGSARI,0.6971,0.6167,0.7333,0.6824,BERKEMBANG,MAJU,0.7073,0.0249
15,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,JURANGMANGU,0.72,0.6167,0.7333,0.69,BERKEMBANG,MAJU,0.7073,0.0173
16,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,GAMBUHAN,0.7371,0.6833,0.6667,0.6957,BERKEMBANG,MAJU,0.7073,0.0116
17,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,KARANGSARI,0.7943,0.8,0.7333,0.7759,MAJU,MANDIRI,0.8156,0.0397
18,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,NYALEMBENG,0.7314,0.6,0.6667,0.666,BERKEMBANG,MAJU,0.7073,0.0413
19,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,PULOSARI,0.88,0.8333,0.5333,0.7489,MAJU,MANDIRI,0.8156,0.0667
20,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,PAGENTERAN,0.7257,0.6333,0.7333,0.6975,BERKEMBANG,MAJU,0.7073,0.0098
21,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,SIREMENG,0.8,0.6667,0.6,0.6889,BERKEMBANG,MAJU,0.7073,0.0184
22,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,CIKENDUNG,0.7714,0.5667,0.6667,0.6683,BERKEMBANG,MAJU,0.7073,0.039
23,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,GOMBONG,0.7714,0.6,0.7333,0.7016,BERKEMBANG,MAJU,0.7073,0.0057
24,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,BELIK,0.8457,1,0.6667,0.8375,MANDIRI,MANDIRI,0.8156,-0.0219
25,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,GUNUNGTIGA,0.6857,0.5333,0.6667,0.6286,BERKEMBANG,MAJU,0.7073,0.0787
26,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,KUTA,0.8571,0.6667,0.6667,0.7302,MAJU,MANDIRI,0.8156,0.0854
27,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,BADAK,0.7429,0.55,0.6667,0.6532,BERKEMBANG,MAJU,0.7073,0.0541
28,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,GUNUNGJAYA,0.7429,0.65,0.6667,0.6865,BERKEMBANG,MAJU,0.7073,0.0208
29,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,SIMPUR,0.7486,0.6167,0.5333,0.6329,BERKEMBANG,MAJU,0.7073,0.0744
30,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,MENDELEM,0.7714,0.5833,0.6667,0.6738,BERKEMBANG,MAJU,0.7073,0.0335
31,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,BELUK,0.8286,0.6,0.6,0.6762,BERKEMBANG,MAJU,0.7073,0.0311
32,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,BULAKAN,0.8171,0.6167,0.5333,0.6557,BERKEMBANG,MAJU,0.7073,0.0516
33,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,SIKASUR,0.8229,0.7833,0.6667,0.7576,MAJU,MANDIRI,0.8156,0.058
34,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,KALISALEH,0.6971,0.5,0.6667,0.6213,BERKEMBANG,MAJU,0.7073,0.086
35,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,TLAGASANA,0.68,0.6333,0.8,0.7044,BERKEMBANG,MAJU,0.7073,0.0029
36,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,TUNDAGAN,0.6286,0.5833,0.8667,0.6929,BERKEMBANG,MAJU,0.7073,0.0144
37,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,BONGAS,0.6743,0.5167,0.8667,0.6859,BERKEMBANG,MAJU,0.7073,0.0214
38,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,CIKADU,0.8743,0.75,0.5333,0.7192,MAJU,MANDIRI,0.8156,0.0964
39,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,CAWET,0.68,0.6833,0.5333,0.6322,BERKEMBANG,MAJU,0.7073,0.0751
40,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,MEDAYU,0.6914,0.5333,0.6667,0.6305,BERKEMBANG,MAJU,0.7073,0.0768
41,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,PAGELARAN,0.7771,0.5833,0.6,0.6535,BERKEMBANG,MAJU,0.7073,0.0538
42,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,BODAS,0.6343,0.45,0.7333,0.6059,BERKEMBANG,MAJU,0.7073,0.1014
43,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,JOJOGAN,0.7486,0.65,0.6,0.6662,BERKEMBANG,MAJU,0.7073,0.0411
44,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,MAJALANGU,0.9143,0.7667,0.7333,0.8048,MAJU,MANDIRI,0.8156,0.0108
45,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,TAMBI,0.8229,0.7167,0.5333,0.691,BERKEMBANG,MAJU,0.7073,0.0163
46,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,WATUKUMPUL,0.8743,0.85,0.8667,0.8637,MANDIRI,MANDIRI,0.8156,-0.0481
47,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,GAPURA,0.6743,0.5833,0.8,0.6859,BERKEMBANG,MAJU,0.7073,0.0214
48,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,MAJAKERTA,0.7771,0.6667,0.7333,0.7257,MAJU,MANDIRI,0.8156,0.0899
49,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,WISNU,0.8171,0.6833,0.7333,0.7446,MAJU,MANDIRI,0.8156,0.071
50,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,LONGKEYANG,0.6914,0.5833,0.8667,0.7138,MAJU,MANDIRI,0.8156,0.1018
51,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,JATINGARANG,0.8057,0.7667,0.7333,0.7686,MAJU,MANDIRI,0.8156,0.047
52,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,GUNUNGBATU,0.6571,0.5,0.8667,0.6746,BERKEMBANG,MAJU,0.7073,0.0327
53,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,PASIR,0.7429,0.4833,0.6667,0.631,BERKEMBANG,MAJU,0.7073,0.0763
54,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,KWASEN,0.6743,0.5333,0.7333,0.647,BERKEMBANG,MAJU,0.7073,0.0603
55,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,JATIROYOM,0.8571,0.75,0.3333,0.6468,BERKEMBANG,MAJU,0.7073,0.0605
56,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,PARUNGGALIH,0.5943,0.4833,0.8667,0.6481,BERKEMBANG,MAJU,0.7073,0.0592
57,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,PAYUNG,0.7429,0.5,0.6,0.6143,BERKEMBANG,MAJU,0.7073,0.093
58,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,CANGAK,0.8,0.5833,0.6,0.6611,BERKEMBANG,MAJU,0.7073,0.0462
59,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,KEBANDUNGAN,0.6686,0.6167,0.8,0.6951,BERKEMBANG,MAJU,0.7073,0.0122
