kodeUrusan 	kodeUrusanBidang 	kodeProgram 	kodeKegiatan 	kodeSubKegiatan 	Nomenklatur
X 	 	 	 	 	
X 	XX 	 	 	 	
X 	XX 	1 	 	 	PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH
X 	XX 	1 	02.01 	 	Perencanaan dan Evaluasi Kinerja Perangkat Daerah
X 	XX 	1 	02.01 	1 	Penyusunan Renstra dan Renja Perangkat Daerah
X 	XX 	1 	02.01 	2 	Penyusunan Program dan Kegiatan Perangkat Daerah dalam Dokumen Perencanaan
X 	XX 	1 	02.01 	3 	Penyusunan Dokumen Evaluasi Perangkat Daerah
X 	XX 	1 	02.01 	4 	Koordinasi dan Sinkronisasi Perencanaan Perangkat Daerah
X 	XX 	1 	02.01 	5 	Evaluasi Kinerja Perangkat Daerah
X 	XX 	1 	02.02 	 	Administrasi Keuangan
X 	XX 	1 	02.02 	1 	Penyediaan Gaji dan Tunjangan ASN
X 	XX 	1 	02.02 	2 	Penyediaan Administrasi Pelaksanaan Tugas ASN
X 	XX 	1 	02.02 	3 	Penyiapan Bahan Pelaksanaan Verifikasi
X 	XX 	1 	02.02 	4 	Penyusunan Akuntansi dan Pelaporan Keuangan
X 	XX 	1 	02.02 	5 	Pengelolaan dan Penyiapan Bahan Tanggapan Pemeriksaan
X 	XX 	1 	02.02 	6 	Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD
X 	XX 	1 	02.02 	7 	Penyusunan Laporan Keuangan Bulanan/Semesteran
X 	XX 	1 	02.02 	8 	Penyusunan Pelaporan Prognosis Realisasi Anggaran
X 	XX 	1 	02.02 	9 	Penyusunan Pelaporan Keuangan Akhir Tahun
X 	XX 	1 	02.03 	 	Administrasi Umum
X 	XX 	1 	02.03 	1 	Penyediaan Jasa Surat Menyurat
X 	XX 	1 	02.03 	2 	Penyediaan Jasa Komunikasi, Sumber Daya Air Dan Listrik
X 	XX 	1 	02.03 	3 	Penyediaan Jasa Peralatan dan Perlengkapan Kantor
X 	XX 	1 	02.03 	4 	Penyediaan Jasa Jaminan Pemeliharaan Kesehatan PNS
X 	XX 	1 	02.03 	5 	Penyediaan Jasa Jaminan Barang Milik Daerah
X 	XX 	1 	02.03 	6 	Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional
X 	XX 	1 	02.03 	7 	Penyediaan Jasa Administrasi Keuangan
X 	XX 	1 	02.03 	8 	Penyediaan Jasa Kebersihan Kantor
X 	XX 	1 	02.03 	9 	Penyediaan Jasa Perbaikan Peralatan Kerja
X 	XX 	1 	02.03 	10 	Penyediaan Alat Tulis Kantor
X 	XX 	1 	02.03 	11 	Penyediaan Barang Cetakan dan Penggandaan
X 	XX 	1 	02.03 	12 	Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor
X 	XX 	1 	02.03 	13 	Penyediaan Peralatan dan Perlengkapan Kantor
X 	XX 	1 	02.03 	14 	Penyediaan Peralatan Rumah Tangga
X 	XX 	1 	02.03 	15 	Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan
X 	XX 	1 	02.03 	16 	Penyediaan Bahan Logistik Kantor
X 	XX 	1 	02.03 	17 	Penyediaan Makanan dan Minuman
X 	XX 	1 	02.03 	18 	Rapat-Rapat Kordinasi dan Konsultasi ke Luar Daerah
X 	XX 	1 	02.03 	19 	Pengadaan Mobil Jabatan
X 	XX 	1 	02.03 	20 	Pengadaan Kendaraan Dinas/Operasional
X 	XX 	1 	02.03 	21 	Pengadaan Perlengkapan Rumah Jabatan/Dinas
X 	XX 	1 	02.03 	22 	Pengadaan Perlengkapan Gedung Kantor
