kodeUrusan	kodeUrusanBidang	kodeProgram	kodeKegiatan	kodeSubKegiatan	nomenklatur
X					
X	XX				
X	XX	01			PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH
X	XX	01	1.01		Perencanaan dan Evaluasi Kinerja Perangkat Daerah
X	XX	01	1.01	01	Penyusunan Renstra dan Renja Perangkat Daerah
X	XX	01	1.01	02	Penyusunan Program dan Kegiatan Perangkat Daerah dalam Dokumen Perencanaan
X	XX	01	1.01	03	Penyusunan Dokumen Evaluasi Perangkat Daerah
X	XX	01	1.01	04	Koordinasi dan Sinkronisasi Perencanaan Perangkat Daerah
X	XX	01	1.01	05	Evaluasi Kinerja Perangkat Daerah
X	XX	01	1.02		Administrasi Keuangan
X	XX	01	1.02	01	Penyediaan Gaji dan Tunjangan ASN
X	XX	01	1.02	02	Penyediaan Administrasi Pelaksanaan Tugas ASN
X	XX	01	1.02	03	Penyiapan Bahan Pelaksanaan Verifikasi
X	XX	01	1.02	05	Pengelolaan dan Penyiapan Bahan Tanggapan Pemeriksaan
X	XX	01	1.02	06	Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD
X	XX	01	1.02	07	Penyusunan Laporan Keuangan Bulanan/Semesteran
X	XX	01	1.02	08	Penyusunan Pelaporan Prognosis Realisasi Anggaran
X	XX	01	1.02	09	Penyusunan Pelaporan Keuangan Akhir Tahun
X	XX	01	1.03		Administrasi Umum
X	XX	01	1.03	01	Penyediaan Jasa Surat Menyurat
X	XX	01	1.03	02	Penyediaan Jasa Komunikasi, Sumber Daya Air Dan Listrik
X	XX	01	1.03	03	Penyediaan Jasa Peralatan dan Perlengkapan Kantor
X	XX	01	1.03	04	Penyediaan Jasa Jaminan Pemeliharaan Kesehatan PNS
X	XX	01	1.03	05	Penyediaan Jasa  Jaminan Barang Milik Daerah
X	XX	01	1.03	06	Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional
X	XX	01	1.03	07	Penyediaan Jasa  Administrasi Keuangan
X	XX	01	1.03	08	Penyediaan Jasa  Kebersihan Kantor
X	XX	01	1.03	09	Penyediaan Jasa  Perbaikan Peralatan Kerja
X	XX	01	1.03	10	Penyediaan Alat Tulis Kantor
X	XX	01	1.03	11	Penyediaan Barang Cetakan dan Penggandaan
X	XX	01	1.03	12	Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor
X	XX	01	1.03	13	Penyediaan Peralatan dan Perlengkapan Kantor
X	XX	01	1.03	14	Penyediaan Peralatan Rumah Tangga
X	XX	01	1.03	15	Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan
X	XX	01	1.03	16	Penyediaan Bahan Logistik Kantor
X	XX	01	1.03	17	Penyediaan Makanan dan Minuman
X	XX	01	1.03	18	Rapat-rapat Kordinasi dan Konsultasi keLuar Daerah
X	XX	01	1.03	20	Pengadaan Mobil Jabatan
X	XX	01	1.03	21	Pengadaan Kendaraan Dinas/Operasional
X	XX	01	1.03	22	Pengadaan Perlengkapan Rumah Jabatan/Dinas
X	XX	01	1.03	23	Pengadaan Perlengkapan Gedung Kantor
X	XX	01	1.03	24	Pengadaan Peralatan Rumah Jabatan/Dinas
X	XX	01	1.03	25	Pengadaan Peralatan Gedung Kantor
X	XX	01	1.03	26	Pengadaan Mebeleur
X	XX	01	1.03	27	Pemeliharaan Rutin/Berkala Rumah Jabatan
X	XX	01	1.03	28	Pemeliharaan Rutin/Berkala Rumah Dinas
X	XX	01	1.03	29	Pemeliharaan Rutin/Berkala Gedung Kantor
X	XX	01	1.03	30	Pemeliharaan Rutin/Berkala Mobil Jabatan
